"";"Overall"
"msp_0001";0,11298820746282
"msp_0002";0
"msp_0003";0,14560155596225
"msp_0004";0,0722594203116617
"msp_0005";0,21600521394199
"msp_0006";0,216166265716991
"msp_0007";0,783069740978845
"msp_0008";0,408564516598081
"msp_0009";0,132183131639477
"msp_0010";0,532417755162061
"msp_0011";0,406329026349254
"msp_0012";0,266844965290053
"msp_0013";0,298224902594644
"msp_0014";0,532508161440265
"msp_0015";0,428118840267458
"msp_0016";0,137512580631014
"msp_0017";1,38572262895427
"msp_0018";0,181209793999387
"msp_0019";0,0923115079665548
"msp_0020";0,232773734464098
"msp_0021";0,350106664409614
"msp_0022";0,171556226934573
"msp_0023";0,161625378312574
"msp_0024";1,10220890743522
"msp_0025";1,35151900695673
"msp_0026";1,22658268061274
"msp_0027";5,97380388859615
"msp_0028";0,258168859123815
"msp_0029";0,47406945997442
"msp_0030";0,121634793591978
"msp_0031";0,0263087447854352
"msp_0032";3,45423651452858
"msp_0033";0,0875080058560999
"msp_0034";0,987674850101568
"msp_0035";0,405544295358127
"msp_0036";0,221047371356328
"msp_0037";0
"msp_0038";0,117480200267789
"msp_0039";0,227296977246118
"msp_0040";0,147095428360664
"msp_0041";0,0845905916992014
"msp_0042";0,341152839022716
"msp_0043";0,0961477812901047
"msp_0044";5,25867993996713
"msp_0045";0,293264108608087
"msp_0046";2,30911672558631
"msp_0047";0,0228394597587844
"msp_0048";0,633478738412407
"msp_0049";5,04933910771691
"msp_0050";0,423458872093594
"msp_0051";0
"msp_0052";0,355650824169646
"msp_0053";1,21531089991031
"msp_0054";1,20832142868473
"msp_0055";0,47681521307772
"msp_0056";2,19238569298518
"msp_0057";0,18888029694279
"msp_0058";0,0694129247835722
"msp_0059";0,15990198947854
"msp_0060";0,0380657662646406
"msp_0061";0
"msp_0062";3,03023150763202
"msp_0063";0,15108821948332
"msp_0064";0
"msp_0065";0,71968823100995
"msp_0066";0,924595720675907
"msp_0067";0,12274385498904
"msp_0068";0,202779872790791
"msp_0069";0,250913799123587
"msp_0070";0,052217274664201
"msp_0071";0,268286524747339
"msp_0072";0,403698931596703
"msp_0073";0,16471018612441
"msp_0074";4,06878053430588
"msp_0075";0,496826435493471
"msp_0076";2,54292310090867
"msp_0077";0,0501680547115367
"msp_0078";0,0466305636741847
"msp_0079";0,386506337057163
"msp_0080";0,127403879231875
"msp_0081";0,664598446476125
"msp_0082c";0
"msp_0083";0,0814989090322593
"msp_0084";0,169551808942583
"msp_0085";0,0228394597587844
"msp_0086";6,27066433076826
"msp_0087";0,440948095651885
"msp_0088";0,0477090937183496
"msp_0089";0,176171831761847
"msp_0090";1,15344292815377
"msp_0091";0
"msp_0092";0,1119877342004
"msp_0093";0,268709285596355
"msp_0094";0
"msp_0095";0,502999297467224
"msp_0096";0,120622659155074
"msp_0097";0,294678748401137
"msp_0098";0
"msp_0099";0
"msp_0100";0,323675708812615
"msp_0101";0,0697912118671815
"msp_0102";0
"msp_0103";0,119241012823987
"msp_0104";0,17026018434161
"msp_0105";0,45817819403909
"msp_0106";0,0811472088712909
"msp_0107";11,2439749023367
"msp_0108";0,540058067849784
"msp_0109";0,145456010385356
"msp_0110";1,05891298902761
"msp_0111";0
"msp_0112";0,169392659877651
"msp_0113";0,613942464044959
"msp_0114";0,0549459769514717
"msp_0115c";0
"msp_0116";0
"msp_0117";0,431645481826786
"msp_0118";4,1495921193372
"msp_0119";0
"msp_0120";0,0510243249930289
"msp_0121";0,0542321127970577
"msp_0122";0
"msp_0123";0,0774400048146827
"msp_0124";0,658555426906352
"msp_0125";0,458232446709401
"msp_0126";0,436876240884262
"msp_0127";0
"msp_0128";0,42326732356063
"msp_0129";1,3370720552592
"msp_0130";0,214118238903208
"msp_0131";0,361281321055501
"msp_0132";0,0971043056731649
"msp_0133";0,0690374579072346
"msp_0134";0,0239814327467236
"msp_0135";0
"msp_0136";0,414288292265303
"msp_0137";0,0790304410902679
"msp_0138";0,0685183792763531
"msp_0139";0,60128712802969
"msp_0140";0,206033027127263
"msp_0141";1,87257184451267
"msp_0142";0,397130266105948
"msp_0143";0,100817859010985
"msp_0144";1,11740225278217
"msp_0145";0,0952516810546193
"msp_0146c";0,623498795492278
"msp_0147";1,12124000792545
"msp_0149";0
"msp_0150c";1,9990888710425
"msp_0151";0,169030128770368
"msp_0152";0,329949961152804
"msp_0153";0,221515212066201
"msp_0154";0,501799634967933
"msp_0155";0
"msp_0156";0
"msp_0157";0,0532920727704969
"msp_0158";0,121002808836525
"msp_0159";0,303659115005273
"msp_0160";0,0639504873245962
"msp_0161";0
"msp_0162";0,401007388698268
"msp_0163";0,160944881810888
"msp_0164";0,299358404050523
"msp_0165";0
"msp_0166";0,186461991294436
"msp_0167c";0
"msp_0168";0,352009509261456
"msp_0169";0,0737890238360726
"msp_0170";0,572548129014397
"msp_0171";0,0233152818370924
"msp_0172";4,44622748520426
"msp_0173";0,0199845272889363
"msp_0174";0,0775871203364727
"msp_0175";0,291868422138162
"msp_0176";0
"msp_0177";0,286705389332764
"msp_0178";0,227716325465378
"msp_0179";0,270858405724055
"msp_0180";0,0745228902987959
"msp_0181";0,297072937601519
"msp_0182";0,0994760285659592
"msp_0183";0,544391789369637
"msp_0184";0
"msp_0185";1,16526391670974
"msp_0186";0,143993090740676
"msp_0187";0
"msp_0188";0,30893139362796
"msp_0189";0,094625088017618
"msp_0190";0,869043905792751
"msp_0191";0,184334643967325
"msp_0192";0,0729919201835224
"msp_0193";0
"msp_0194";2,32120060682449
"msp_0195";0,724243423435819
"msp_0196";0,471282194328306
"msp_0197";0
"msp_0198";0,2030068614246
"msp_0199";1,16193167880155
"msp_0200";0,0635097133144782
"msp_0201";0
